lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Uniform,0.5,0.5000029566,0.004999240154737656,5.913200000096097e-06,True
16.0,0.94,Uniform,0.5,0.5000042156,0.006000355704158874,8.431199999936467e-06,True
16.0,0.9299999999999999,Uniform,0.5,0.5000056798,0.007001803912369826,1.1359599999982706e-05,True
16.0,0.92,Uniform,0.5,0.5000060144,0.007205753510641608,1.2028800000063455e-05,True
16.0,0.91,Uniform,0.5,0.5000063636,0.007401249328763377,1.2727199999895689e-05,True
16.0,0.9,Uniform,0.5,0.5000069474,0.007720944477443029,1.3894799999913943e-05,True
16.0,0.89,Uniform,0.5,0.5000077572,0.008150269496183561,1.551440000002735e-05,True
16.0,0.88,Uniform,0.5,0.5000087870000001,0.008672996389858969,1.7574000000131207e-05,True
16.0,0.87,Uniform,0.5,0.500010028,0.009273354779031564,2.0056000000101548e-05,True
16.0,0.8600000000000001,Uniform,0.5,0.5000114764,0.009937310208918743,2.295279999997568e-05,True
16.0,0.8500000000000001,Uniform,0.5,0.5000122248,0.010266358144433446,2.444959999992058e-05,True
16.0,0.8400000000000001,Uniform,0.5,0.5000124624,0.010357837678862445,2.492479999993691e-05,True
16.0,0.8300000000000001,Uniform,0.5,0.5000129284,0.01053996541619888,2.5856800000001456e-05,True
16.0,0.8200000000000001,Uniform,0.5,0.5000136218,0.010808140195633215,2.7243599999948742e-05,True
16.0,0.81,Uniform,0.5,0.5000145322,0.011156117396067242,2.9064400000056168e-05,True
16.0,0.8,Uniform,0.5,0.500015655,0.011576673848746671,3.131000000000661e-05,True
16.0,0.79,Uniform,0.5,0.5000169828,0.012062178781459647,3.396559999990778e-05,True
16.0,0.78,Uniform,0.5,0.5000185086,0.012605091045668015,3.701719999993358e-05,True
16.0,0.77,Uniform,0.5,0.5000190838,0.012805275092461555,3.816760000008301e-05,True
16.0,0.76,Uniform,0.5,0.5000192906,0.012868604465159686,3.858120000010956e-05,True
16.0,0.75,Uniform,0.5,0.5000197223999999,0.013002131293129252,3.944479999984374e-05,True
16.0,0.74,Uniform,0.5,0.5000203726,0.013203684129586257,4.074519999996973e-05,True
16.0,0.73,Uniform,0.5,0.5000212342,0.013470152516668653,4.24683999999953e-05,True
16.0,0.72,Uniform,0.5,0.5000223012,0.013797725123127843,4.460240000003779e-05,True
16.0,0.71,Uniform,0.5,0.5000235652,0.014182122298186725,4.713040000003943e-05,True
16.0,0.7,Uniform,0.5,0.5000250254,0.014618811459898334,5.005080000008988e-05,True
16.0,0.69,Uniform,0.5,0.5000266706000001,0.01510320429478757,5.334120000011211e-05,True
16.0,0.68,Uniform,0.5,0.5000267168,0.015116888140712345,5.343359999998576e-05,True
16.0,0.67,Uniform,0.5,0.5000269264,0.015169810653150336,5.3852800000031564e-05,True
16.0,0.66,Uniform,0.5,0.500027347,0.015278833022750737,5.469399999991076e-05,True
16.0,0.65,Uniform,0.5,0.5000279768,0.015442707357402297,5.595359999999161e-05,True
16.0,0.64,Uniform,0.5,0.50002881,0.015659665102757663,5.7619999999980465e-05,True
16.0,0.63,Uniform,0.5,0.500029839,0.01592749231223014,5.9677999999951936e-05,True
16.0,0.62,Uniform,0.5,0.5000310572000001,0.01624362733147079,6.211440000014612e-05,True
16.0,0.61,Uniform,0.5,0.500032459,0.016605268778618457,6.491800000008041e-05,True
16.0,0.6,Uniform,0.5,0.5000340418,0.01700946573053194,6.80835999999907e-05,True
16.0,0.5900000000000001,Uniform,0.5,0.500035297,0.017328261253339982,7.059400000009042e-05,True
16.0,0.5800000000000001,Uniform,0.5,0.5000352753999999,0.01732315266405048,7.05507999998467e-05,True
16.0,0.5700000000000001,Uniform,0.5,0.5000354638,0.017364061250655413,7.092759999993703e-05,True
16.0,0.56,Uniform,0.5,0.5000358548,0.01745062961225439,7.170960000002502e-05,True
16.0,0.55,Uniform,0.5,0.5000364448,0.017582151758082448,7.288959999995903e-05,True
16.0,0.54,Uniform,0.5,0.5000372262,0.017757588676150595,7.445240000003572e-05,True
16.0,0.53,Uniform,0.5,0.5000381948,0.017975627419388653,7.638960000000417e-05,True
16.0,0.52,Uniform,0.5,0.5000393434,0.018234711806497234,7.868680000000516e-05,True
16.0,0.51,Uniform,0.5,0.5000406674,0.018533090944350527,8.133479999994364e-05,True
16.0,0.5,Uniform,0.5,0.5000421636,0.018868875878934124,8.432719999995619e-05,True
16.0,0.49,Uniform,0.5,0.5000438264,0.01924008409508286,8.76528000000043e-05,True
16.0,0.48,Uniform,0.5,0.5000449979999999,0.019502765203501592,8.999599999981456e-05,True
16.0,0.47000000000000003,Uniform,0.5,0.5000449086000001,0.019485462849887374,8.981720000011961e-05,True
16.0,0.46,Uniform,0.5,0.5000450204,0.01950602463458387,9.004079999996861e-05,True
16.0,0.45,Uniform,0.5,0.5000453254,0.019564314808392838,9.065080000003611e-05,True
15.9,0.95,Uniform,0.5,0.5000029582,0.004999458905193811,5.916399999916777e-06,True
15.9,0.94,Uniform,0.5,0.5000042152,0.006000613350633893,8.43040000009232e-06,True
15.9,0.9299999999999999,Uniform,0.5,0.5000056803999999,0.0070020978889776455,1.136079999985995e-05,True
15.9,0.92,Uniform,0.5,0.5000060136,0.007206127346174289,1.202719999993107e-05,True
15.9,0.91,Uniform,0.5,0.5000063658,0.007401708871877843,1.2731600000037702e-05,True
15.9,0.9,Uniform,0.5,0.5000069497999999,0.007721485455843903,1.3899599999867007e-05,True
15.9,0.89,Uniform,0.5,0.5000077575999999,0.008150886416379313,1.55151999998715e-05,True
15.9,0.88,Uniform,0.5,0.5000087881999999,0.008673675796276025,1.7576399999885695e-05,True
15.9,0.87,Uniform,0.5,0.5000100303999999,0.009274091858734023,2.0060799999832568e-05,True
15.9,0.8600000000000001,Uniform,0.5,0.500011479,0.009938095930514245,2.2957999999961842e-05,True
15.9,0.8500000000000001,Uniform,0.5,0.500012228,0.01026722145671867,2.445600000000603e-05,True
15.9,0.8400000000000001,Uniform,0.5,0.500012463,0.010358805545944896,2.4926000000036197e-05,True
15.9,0.8300000000000001,Uniform,0.5,0.500012932,0.010541030992225184,2.5863999999931053e-05,True
15.9,0.8200000000000001,Uniform,0.5,0.5000136244000001,0.010809290669858118,2.7248800000156947e-05,True
15.9,0.81,Uniform,0.5,0.500014537,0.011157346946958758,2.9073999999962297e-05,True
15.9,0.8,Uniform,0.5,0.5000156588,0.011577969376093431,3.13175999999693e-05,True
15.9,0.79,Uniform,0.5,0.5000169856000001,0.012063531691754625,3.397120000014908e-05,True
15.9,0.78,Uniform,0.5,0.5000185136,0.012606489341022585,3.702720000009485e-05,True
15.9,0.77,Uniform,0.5,0.500019089,0.012806726775551187,3.8178000000055334e-05,True
15.9,0.76,Uniform,0.5,0.5000192957999999,0.012870111128082468,3.859159999985984e-05,True
15.9,0.75,Uniform,0.5,0.5000197286000001,0.013003694117976047,3.9457200000203585e-05,True
15.9,0.74,Uniform,0.5,0.5000203773999999,0.013205293664993786,4.075479999987586e-05,True
15.9,0.73,Uniform,0.5,0.5000212398,0.013471799996501027,4.247960000003381e-05,True
15.9,0.72,Uniform,0.5,0.5000223072,0.01379941044048365,4.461439999992045e-05,True
15.9,0.71,Uniform,0.5,0.500023573,0.014183830007843765,4.714599999999791e-05,True
15.9,0.7,Uniform,0.5,0.5000250316,0.014620532006101208,5.0063200000005637e-05,True
15.9,0.69,Uniform,0.5,0.5000266778,0.015104943709954145,5.3355599999971304e-05,True
15.9,0.68,Uniform,0.5,0.5000267262,0.015118928460019559,5.3452399999986966e-05,True
15.9,0.67,Uniform,0.5,0.5000269318,0.01517183641873363,5.386360000003698e-05,True
15.9,0.66,Uniform,0.5,0.5000273552000001,0.015280842567402718,5.471040000015748e-05,True
15.9,0.65,Uniform,0.5,0.5000279858,0.0154446941988949,5.5971599999926624e-05,True
15.9,0.64,Uniform,0.5,0.5000288174,0.01566163289050719,5.76348000000948e-05,True
15.9,0.63,Uniform,0.5,0.5000298463999999,0.015929437034008804,5.9692799999844226e-05,True
15.9,0.62,Uniform,0.5,0.5000310654,0.016245545522529794,6.213079999994875e-05,True
15.9,0.61,Uniform,0.5,0.5000324684,0.01660715856073199,6.493680000008162e-05,True
15.9,0.6,Uniform,0.5,0.500034052,0.01701132781470335,6.810399999990224e-05,True
15.9,0.5900000000000001,Uniform,0.5,0.5000353098,0.017330866823999258,7.061959999998813e-05,True
15.9,0.5800000000000001,Uniform,0.5,0.500035287,0.017325671648055735,7.057399999998992e-05,True
15.9,0.5700000000000001,Uniform,0.5,0.500035473,0.017366496333775943,7.094599999990514e-05,True
15.9,0.56,Uniform,0.5,0.5000358659999999,0.017452977597941583,7.173199999988e-05,True
15.9,0.55,Uniform,0.5,0.5000364556000001,0.017584412104231374,7.291120000019191e-05,True
15.9,0.54,Uniform,0.5,0.5000372368,0.01775976580387837,7.447360000001346e-05,True
15.9,0.53,Uniform,0.5,0.500038204,0.017977726299122514,7.640799999997228e-05,True
15.9,0.52,Uniform,0.5,0.5000393533999999,0.018236732319164107,7.870679999988361e-05,True
15.9,0.51,Uniform,0.5,0.5000406775999999,0.01853503890670621,8.135519999985519e-05,True
15.9,0.5,Uniform,0.5,0.5000421733999999,0.018870744864442426,8.434679999980155e-05,True
15.9,0.49,Uniform,0.5,0.500043836,0.019241878478344545,8.767200000003861e-05,True
15.9,0.48,Uniform,0.5,0.5000450134,0.019505686976584703,9.002679999992047e-05,True
15.9,0.47000000000000003,Uniform,0.5,0.5000449238,0.019488239713237765,8.984759999997038e-05,True
15.9,0.46,Uniform,0.5,0.5000450329999999,0.019508654251035575,9.006599999983322e-05,True
15.9,0.45,Uniform,0.5,0.5000453391999999,0.019566808340285558,9.067839999987726e-05,True
15.8,0.95,Uniform,0.5,0.5000029570000001,0.004999680171362383,5.9140000001622894e-06,True
15.8,0.94,Uniform,0.5,0.5000042158,0.0060008738113153355,8.431599999969563e-06,True
15.8,0.9299999999999999,Uniform,0.5,0.5000056816,0.007002394083568973,1.1363200000058526e-05,True
15.8,0.92,Uniform,0.5,0.5000060164000001,0.007206505188726231,1.2032800000172372e-05,True
