epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Spike,1.0,0.5297939016,0.473183552464502,0.0595878031999999,False
16.0,0.94,Spike,1.0,0.5300022646,0.4726937430518913,0.06000452919999999,False
16.0,0.9299999999999999,Spike,1.0,0.5300579714,0.47263656875785476,0.06011594279999999,False
16.0,0.92,Spike,1.0,0.5302099548,0.47269784392856384,0.06041990959999999,False
16.0,0.91,Spike,0.000611,0.5300712557999999,0.4713970042817043,0.06014251159999984,False
16.0,0.9,Spike,0.000856,0.5298494806,0.47052700511972423,0.05969896120000007,False
16.0,0.89,Spike,0.263595,0.5287641946,0.4706564512154555,0.05752838920000003,False
16.0,0.88,Spike,1.0,0.529455652,0.47117441878265964,0.058911304,False
16.0,0.87,Spike,1.0,0.5295971474,0.4705004283653775,0.059194294799999936,False
16.0,0.8600000000000001,Spike,1.0,0.5298782623999999,0.47214857753949874,0.05975652479999982,False
16.0,0.8500000000000001,Spike,0.007652,0.5289475714,0.47089195006016066,0.05789514280000008,False
16.0,0.8400000000000001,Spike,1.0,0.5291139958,0.4706624121254542,0.05822799159999992,False
16.0,0.8300000000000001,Spike,0.002431,0.5295141478,0.47029775472455504,0.05902829559999989,False
16.0,0.8200000000000001,Spike,1.0,0.5292766308,0.47055041330435216,0.05855326159999996,False
16.0,0.81,Spike,1.0,0.5292719605999999,0.469645099803427,0.05854392119999985,False
16.0,0.8,Spike,1.0,0.5292139452,0.4685394702427168,0.05842789039999996,False
16.0,0.79,Spike,1.0,0.5280102562,0.46428337744894294,0.056020512399999944,False
16.0,0.78,Spike,0.258632,0.5274624433999999,0.46346317352803484,0.05492488679999985,False
16.0,0.77,Spike,0.087763,0.5273604938,0.4626684210207776,0.054720987600000104,False
16.0,0.76,Spike,1.0,0.5275943959999999,0.4619266143995049,0.05518879199999982,False
16.0,0.75,Spike,1.0,0.5279569526,0.4600776761576972,0.05591390519999995,False
16.0,0.74,Spike,0.27271,0.5279124334,0.4597170905152062,0.055824866800000095,False
16.0,0.73,Spike,1.0,0.5270519692,0.4606340678940384,0.05410393839999994,False
16.0,0.72,Spike,0.013428,0.5272867858,0.45715073319678445,0.05457357159999998,False
16.0,0.71,Spike,0.038816,0.5262936456,0.4534149567805646,0.05258729120000005,False
16.0,0.7,Spike,1.0,0.5268634942,0.45237668719748714,0.05372698840000001,False
16.0,0.69,Spike,1.0,0.5256170802000001,0.4480738819856012,0.05123416040000017,False
16.0,0.68,Spike,1.0,0.5259690976,0.4481485828944148,0.05193819519999998,False
16.0,0.67,Spike,1.0,0.5254291522,0.4456513634093184,0.05085830439999994,False
