epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Bimodal,0.006569,0.5276126862,0.463685650717577,0.05522537240000003,False
16.0,0.94,Bimodal,0.021399,0.5268587896,0.46181977061555995,0.053717579199999976,False
16.0,0.9299999999999999,Bimodal,0.204186,0.526132044,0.45754562560039413,0.05226408800000004,False
16.0,0.92,Bimodal,0.416057,0.5259674676,0.4560385804080868,0.05193493520000003,False
16.0,0.91,Bimodal,1.0,0.5264137562,0.45446721285306957,0.05282751239999994,False
16.0,0.9,Bimodal,1.0,0.5261651444000001,0.4507818823775338,0.052330288800000124,False
16.0,0.89,Bimodal,1.0,0.526325846,0.450702305163792,0.05265169199999997,False
16.0,0.88,Bimodal,0.014191,0.5255184436,0.44557940268999185,0.05103688719999999,False
16.0,0.87,Bimodal,1.0,0.5256789978,0.4494534219318993,0.051357995600000095,False
16.0,0.8600000000000001,Bimodal,0.096259,0.5242112326,0.44072033939188654,0.04842246520000004,False
16.0,0.8500000000000001,Bimodal,0.984931,0.5240808046000001,0.4385975402806547,0.04816160920000012,False
16.0,0.8400000000000001,Bimodal,0.058366,0.523699,0.4348606347759792,0.04739800000000005,False
16.0,0.8300000000000001,Bimodal,0.049582,0.5234383846,0.4318905948926177,0.04687676920000006,False
16.0,0.8200000000000001,Bimodal,1.0,0.523691261,0.42984421843931,0.04738252199999993,False
16.0,0.81,Bimodal,0.684731,0.5224284704,0.42495739144563893,0.04485694079999991,False
16.0,0.8,Bimodal,1.0,0.5230045774000001,0.42447126203503943,0.04600915480000012,False
16.0,0.79,Bimodal,1.0,0.5219153362000001,0.4174383321315858,0.04383067240000016,False
16.0,0.78,Bimodal,0.064519,0.5214118222,0.4129133691284824,0.04282364440000008,False
16.0,0.77,Bimodal,0.053926,0.5206592358,0.40456225815642555,0.041318471599999906,False
16.0,0.76,Bimodal,0.061828,0.5199449815999999,0.3980850924296093,0.03988996319999982,False
16.0,0.75,Bimodal,1.0,0.5190923124000001,0.3877949884002645,0.03818462480000018,False
16.0,0.74,Bimodal,0.303707,0.5176445164000001,0.37783288184835434,0.035289032800000175,False
16.0,0.73,Bimodal,0.334139,0.5174445942,0.3759059150888904,0.03488918839999999,False
16.0,0.72,Bimodal,0.467486,0.515701251,0.35602278126243264,0.03140250199999994,False
16.0,0.71,Bimodal,1.0,0.514841723,0.3434937903821065,0.029683445999999947,False
16.0,0.7,Bimodal,1.0,0.5144179288,0.33862675438872647,0.02883585760000007,False
16.0,0.69,Bimodal,0.109036,0.513559452,0.32794767161345945,0.027118903999999944,False
