epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Spike,1.0,0.9108952264,0.27489039727529224,0.8217904528,False
16.0,0.94,Spike,1.0,0.8669534696000001,0.33132210990554,0.7339069392000002,False
16.0,0.9299999999999999,Spike,1.0,0.8218956434,0.3752119713199889,0.6437912868,False
16.0,0.92,Spike,1.0,0.7760323083999999,0.41018440348791935,0.5520646167999999,False
16.0,0.91,Spike,1.0,0.7418019864000001,0.43124418349535093,0.4836039728000001,False
16.0,0.9,Spike,1.0,0.7267627068,0.4393510113112581,0.4535254136,False
16.0,0.89,Spike,1.0,0.7314951786,0.4368433300432586,0.46299035720000004,False
16.0,0.88,Spike,0.0,0.6647368577999999,0.4661138014058496,0.32947371559999983,False
16.0,0.87,Spike,0.0,0.5884054816,0.48645099716538837,0.1768109631999999,False
16.0,0.8600000000000001,Spike,0.0,0.5428444818,0.4924741396629783,0.0856889636,False
16.0,0.8500000000000001,Spike,1.0,0.5785792576,0.4878015489298275,0.1571585151999999,False
16.0,0.8400000000000001,Spike,1.0,0.6206793612,0.47910522316399073,0.2413587224,False
16.0,0.8300000000000001,Spike,0.0,0.5725972856,0.488666639701233,0.1451945712,False
16.0,0.8200000000000001,Spike,1.0,0.5620554114,0.4898743131850412,0.12411082280000008,False
16.0,0.81,Spike,0.0,0.5547839024000001,0.49075708541193014,0.10956780480000017,False
16.0,0.8,Spike,1.0,0.5570839122000001,0.49014845978473576,0.11416782440000017,False
16.0,0.79,Spike,0.0,0.5431934302,0.49145783686192795,0.08638686039999999,False
16.0,0.78,Spike,0.0,0.5700607092000001,0.48803569522387347,0.14012141840000014,False
16.0,0.77,Spike,1.0,0.557868089,0.4892803340543848,0.11573617799999991,False
16.0,0.76,Spike,1.0,0.55120744,0.48960274046451296,0.10241487999999999,False
16.0,0.75,Spike,1.0,0.548637176,0.4895012417539531,0.0972743519999999,False
16.0,0.74,Spike,1.0,0.5483091086,0.4891389196639702,0.09661821720000008,False
16.0,0.73,Spike,0.0,0.5447779752,0.4889927883609372,0.08955595040000008,False
16.0,0.72,Spike,1.0,0.530610538,0.4891157505592082,0.06122107600000004,False
16.0,0.71,Spike,0.0,0.5452138536000001,0.4876414977645825,0.09042770720000015,False
16.0,0.7,Spike,1.0,0.5385232216,0.4873195562050496,0.07704644319999998,False
16.0,0.69,Spike,1.0,0.535285732,0.4865650930826928,0.07057146399999992,False
16.0,0.68,Spike,1.0,0.5357515082,0.4855183554730208,0.0715030163999999,False
16.0,0.67,Spike,0.0,0.5383328168,0.48410274369198,0.0766656336,False
16.0,0.66,Spike,1.0,0.5307460662000001,0.482972727599148,0.06149213240000018,False
16.0,0.65,Spike,0.024387,0.5301170192,0.4821344598973097,0.06023403839999997,False
16.0,0.64,Spike,0.254474,0.5287026494,0.48015806789372095,0.057405298800000004,False
16.0,0.63,Spike,1.0,0.531461981,0.4780195604287757,0.06292396199999994,False
16.0,0.62,Spike,0.055192,0.5290536034,0.47678563502130167,0.05810720679999992,False
16.0,0.61,Spike,0.000646,0.5311158616,0.4742782282180446,0.06223172320000003,False
16.0,0.6,Spike,0.257906,0.5276950616,0.47182509105949466,0.05539012320000003,False
16.0,0.5900000000000001,Spike,1.0,0.5309638806,0.4688643743064503,0.06192776119999999,False
16.0,0.5800000000000001,Spike,1.0,0.5290959033999999,0.4670463936046297,0.0581918067999998,False
16.0,0.5700000000000001,Spike,0.00044,0.529822475,0.4615133157476432,0.05964495000000003,False
16.0,0.56,Spike,0.411057,0.5261754406,0.45969947458632127,0.05235088119999998,False
16.0,0.55,Spike,0.028733,0.5266731410000001,0.4536325793509338,0.053346282000000134,False
16.0,0.54,Spike,1.0,0.5268781318,0.45128649962655504,0.053756263599999965,False
16.0,0.53,Spike,0.041275,0.5255895359999999,0.4459550593482083,0.051179071999999826,False
16.0,0.52,Spike,0.008195,0.5259550956,0.4416480998566287,0.051910191199999955,False
16.0,0.51,Spike,1.0,0.5250530604000001,0.43639780158375524,0.05010612080000021,False
16.0,0.5,Spike,0.164676,0.5230461504,0.42973879356018574,0.04609230080000004,False
16.0,0.49,Spike,0.277901,0.5223481694,0.4258351550251381,0.0446963387999999,False
16.0,0.48,Spike,0.863564,0.5218329427999999,0.4207470097785298,0.04366588559999984,False
16.0,0.47000000000000003,Spike,1.0,0.5216751911999999,0.41360327447868367,0.04335038239999989,False
16.0,0.46,Spike,1.0,0.5209868287999999,0.40640681612071833,0.041973657599999825,False
16.0,0.45,Spike,1.0,0.5202564196,0.3998903462153444,0.04051283920000004,False
15.9,0.95,Spike,1.0,0.9154155328000001,0.2680289146981247,0.8308310656000002,False
15.9,0.94,Spike,1.0,0.8742996677999999,0.3229413480538403,0.7485993355999998,False
15.9,0.9299999999999999,Spike,1.0,0.8320868377999999,0.3662653525825122,0.6641736755999998,False
15.9,0.92,Spike,1.0,0.789071856,0.401104068015366,0.5781437119999999,False
15.9,0.91,Spike,1.0,0.7569506176,0.42239353387967954,0.5139012352000001,False
15.9,0.9,Spike,1.0,0.7427206436,0.4306954696407748,0.4854412872,False
15.9,0.89,Spike,0.0,0.7334383891999999,0.43581247667474177,0.46687677839999986,False
15.9,0.88,Spike,0.0,0.6229162256,0.47892240156618976,0.24583245120000008,False
15.9,0.87,Spike,0.0,0.568354687,0.489701697404513,0.13670937400000005,False
15.9,0.8600000000000001,Spike,1.0,0.5446491608,0.49216772829023303,0.08929832160000006,False
15.9,0.8500000000000001,Spike,1.0,0.6064095544000001,0.48254222704523403,0.2128191088000002,False
15.9,0.8400000000000001,Spike,0.0,0.6055521908000001,0.4826744524489741,0.21110438160000022,False
15.9,0.8300000000000001,Spike,0.0,0.5423891892,0.4922128604450181,0.08477837840000002,False
15.9,0.8200000000000001,Spike,1.0,0.5785622628,0.48747107097425735,0.1571245256,False
15.9,0.81,Spike,1e-06,0.5363469757999999,0.4925186956758768,0.0726939515999998,False
15.9,0.8,Spike,1.0,0.58098136,0.48678186719735855,0.16196272,False
15.9,0.79,Spike,1.0,0.5411128012,0.4914281732218796,0.0822256024000001,False
15.9,0.78,Spike,0.0,0.5437437352000001,0.491173573950845,0.08748747040000016,False
15.9,0.77,Spike,0.0,0.554340528,0.48968488482361855,0.108681056,False
