epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Uniform,1.0,0.5295745206,0.47871021949803366,0.059149041199999974,False
16.0,0.94,Uniform,1.0,0.5288002356,0.47733446818836356,0.0576004712,False
16.0,0.9299999999999999,Uniform,0.01536,0.5288106412,0.476263696033736,0.057621282399999973,False
16.0,0.92,Uniform,0.007679,0.5289986689999999,0.47424858593328517,0.05799733799999984,False
16.0,0.91,Uniform,1.0,0.5293393627999999,0.47306990262261184,0.05867872559999987,False
16.0,0.9,Uniform,0.002061,0.5293995994,0.4708455981447138,0.05879919880000006,False
16.0,0.89,Uniform,1.0,0.5281365438000001,0.4691788232087019,0.05627308760000016,False
16.0,0.88,Uniform,1.0,0.5288124066000001,0.46777514848014745,0.057624813200000125,False
16.0,0.87,Uniform,1.0,0.5271492346,0.4655798618164645,0.05429846919999992,False
16.0,0.8600000000000001,Uniform,0.007497,0.5279963704,0.4636210408784833,0.05599274080000005,False
16.0,0.8500000000000001,Uniform,1.0,0.5275129788,0.46167024466057294,0.055025957600000064,False
16.0,0.8400000000000001,Uniform,1.0,0.5262863862,0.4585281341765769,0.05257277240000002,False
16.0,0.8300000000000001,Uniform,1.0,0.5267945434,0.45653134695123,0.05358908679999996,False
16.0,0.8200000000000001,Uniform,1.0,0.5263665240000001,0.45271203811365746,0.052733048000000116,False
16.0,0.81,Uniform,1.0,0.5253806112,0.45038429715238154,0.05076122240000003,False
16.0,0.8,Uniform,0.933432,0.5250752354,0.44853587895383906,0.05015047080000001,False
16.0,0.79,Uniform,0.026312,0.5252649160000001,0.4444936271011719,0.050529832000000274,False
16.0,0.78,Uniform,1.0,0.5250356884,0.4414585242421047,0.05007137680000007,False
16.0,0.77,Uniform,0.053064,0.5243829894,0.43962642726793366,0.04876597880000011,False
16.0,0.76,Uniform,0.399055,0.5233967248,0.434902755339897,0.04679344959999998,False
16.0,0.75,Uniform,1.0,0.5238879502,0.4337575840348709,0.047775900400000015,False
16.0,0.74,Uniform,1.0,0.5230682581999999,0.42869812394343937,0.04613651639999983,False
16.0,0.73,Uniform,1.0,0.5235874738,0.4289902799439533,0.04717494760000007,False
16.0,0.72,Uniform,0.287772,0.5216962302,0.4191120014094866,0.0433924604,False
16.0,0.71,Uniform,1.0,0.5225829456,0.4203231888362322,0.04516589119999992,False
16.0,0.7,Uniform,0.942772,0.5213166336,0.4147260460263723,0.04263326720000005,False
16.0,0.69,Uniform,1.0,0.5208848663999999,0.4074883538093645,0.04176973279999974,False
16.0,0.68,Uniform,1.0,0.5213345784,0.4118482740365452,0.04266915679999994,False
16.0,0.67,Uniform,0.077606,0.5203054018000001,0.4017856251254729,0.040610803600000134,False
16.0,0.66,Uniform,0.405029,0.5197561738,0.39505222003104484,0.03951234760000011,False
16.0,0.65,Uniform,1.0,0.5194733866,0.39672175261362075,0.03894677319999995,False
16.0,0.64,Uniform,1.0,0.5186072561999999,0.38564651959216184,0.037214512399999844,False
16.0,0.63,Uniform,0.509962,0.5184015016,0.3816667290928751,0.03680300319999996,False
16.0,0.62,Uniform,1.0,0.5179386232,0.378649592332549,0.035877246399999896,False
16.0,0.61,Uniform,0.153143,0.5166789022,0.3676836074339945,0.033357804400000024,False
16.0,0.6,Uniform,1.0,0.5165524142,0.3639042555193089,0.03310482839999995,False
16.0,0.5900000000000001,Uniform,1.0,0.5155755982,0.3554774592720411,0.03115119639999997,False
16.0,0.5800000000000001,Uniform,0.359199,0.5145102179999999,0.34525380769135733,0.029020435999999705,False
16.0,0.5700000000000001,Uniform,1.0,0.514276624,0.33787227972536604,0.02855324799999992,False
16.0,0.56,Uniform,0.157656,0.5131943832,0.3270001420718342,0.026388766399999986,False
16.0,0.55,Uniform,0.232196,0.5121704524,0.31578424334600047,0.024340904800000063,False
16.0,0.54,Uniform,0.494432,0.5115814348,0.30369571145723884,0.023162869599999913,False
16.0,0.53,Uniform,0.208305,0.5104634652000001,0.2916670304990518,0.020926930400000154,False
16.0,0.52,Uniform,0.205859,0.5096512097999999,0.27963256100279665,0.019302419599999787,False
16.0,0.51,Uniform,0.38617,0.5087593539999999,0.2679134462823448,0.017518707999999883,False
16.0,0.5,Uniform,0.211147,0.5082238756,0.25650409916793243,0.016447751200000083,False
16.0,0.49,Uniform,0.887215,0.5074911740000001,0.24512674263464085,0.0149823480000002,False
16.0,0.48,Uniform,0.228428,0.5068049960000001,0.2337734920370097,0.013609992000000126,False
16.0,0.47000000000000003,Uniform,0.708021,0.5060928262,0.22235605685385212,0.012185652399999913,False
16.0,0.46,Uniform,0.629485,0.505682332,0.21096648916580368,0.011364664000000024,False
16.0,0.45,Uniform,0.263742,0.504995286,0.1994064310754963,0.009990571999999975,False
