epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Spike,0.028034,0.5303381518,0.4921551025439923,0.06067630359999998,False
16.0,0.94,Spike,1.0,0.5456458174000001,0.49061415625565363,0.09129163480000013,False
16.0,0.9299999999999999,Spike,1.0,0.5426389305999999,0.4904606545951793,0.0852778611999998,False
16.0,0.92,Spike,8.7e-05,0.5334883391999999,0.4910866662055682,0.06697667839999988,False
16.0,0.91,Spike,1.0,0.5417584188,0.4900783659235501,0.08351683759999995,False
16.0,0.9,Spike,0.0,0.5397293606,0.48974844768120274,0.07945872119999997,False
16.0,0.89,Spike,1.0,0.5369573994,0.4894941739722883,0.07391479879999996,False
16.0,0.88,Spike,0.047324,0.5301487342000001,0.4895364579690319,0.060297468400000165,False
16.0,0.87,Spike,1.0,0.5365019814,0.48823243243983316,0.0730039628000001,False
16.0,0.8600000000000001,Spike,0.0,0.5369054708,0.48770083044468937,0.0738109415999999,False
16.0,0.8500000000000001,Spike,1.0,0.5367189980000001,0.4867565888671819,0.07343799600000023,False
16.0,0.8400000000000001,Spike,1.0,0.534104902,0.48622314118768645,0.0682098040000001,False
16.0,0.8300000000000001,Spike,1.0,0.5316896208,0.48526449977688635,0.06337924160000008,False
16.0,0.8200000000000001,Spike,1.0,0.5335681294,0.48433648980823096,0.06713625879999996,False
16.0,0.81,Spike,1.0,0.5339360989999999,0.4829843478502549,0.06787219799999988,False
16.0,0.8,Spike,1.0,0.5321894532,0.48204914246127206,0.06437890639999999,False
16.0,0.79,Spike,0.218569,0.5287786748000001,0.4807875913551132,0.05755734960000014,False
16.0,0.78,Spike,1.0,0.5307794388,0.4794957943653499,0.061558877600000006,False
16.0,0.77,Spike,1.0,0.529729256,0.47778387255269217,0.05945851199999996,False
16.0,0.76,Spike,0.050193,0.5287650228,0.47610599114745106,0.05753004560000008,False
16.0,0.75,Spike,0.01795,0.5291371304,0.47462926985800674,0.05827426079999998,False
16.0,0.74,Spike,0.028257,0.5285596548,0.4717320780984048,0.0571193096,False
16.0,0.73,Spike,0.154497,0.5274834049999999,0.46973918522496094,0.05496680999999981,False
16.0,0.72,Spike,0.005402,0.5288771346,0.46688311679141736,0.05775426919999993,False
16.0,0.71,Spike,0.001949,0.5290487836000001,0.4635609689993202,0.058097567200000144,False
16.0,0.7,Spike,0.090547,0.5267905103999999,0.4616529670544409,0.05358102079999982,False
16.0,0.69,Spike,1.0,0.5269226781999999,0.4591398668975701,0.05384535639999988,False
16.0,0.68,Spike,1.0,0.5258982884,0.4550951369827429,0.05179657679999994,False
16.0,0.67,Spike,0.021241,0.5265219762000001,0.4527180866355214,0.05304395240000015,False
16.0,0.66,Spike,1.0,0.5259417938000001,0.4479999292579385,0.051883587600000114,False
16.0,0.65,Spike,1.0,0.5245692648,0.44367366667170843,0.04913852959999998,False
16.0,0.64,Spike,0.027942,0.5251104214,0.4418494925124261,0.05022084279999994,False
16.0,0.63,Spike,1.0,0.523787925,0.4379113173831901,0.047575850000000086,False
16.0,0.62,Spike,0.213093,0.5231453714000001,0.43310228860082706,0.04629074280000012,False
16.0,0.61,Spike,0.778787,0.5226852032000001,0.42899070445622417,0.04537040640000023,False
16.0,0.6,Spike,1.0,0.5232865612,0.4243327063248201,0.04657312240000011,False
16.0,0.5900000000000001,Spike,0.253977,0.5212312674,0.41556643589865944,0.04246253480000006,False
16.0,0.5800000000000001,Spike,0.196463,0.5212314318000001,0.414987460412722,0.04246286360000018,False
16.0,0.5700000000000001,Spike,0.157332,0.5207519762,0.4094416097503924,0.041503952400000044,False
16.0,0.56,Spike,0.215839,0.5201273667999999,0.40467917991133445,0.04025473359999987,False
16.0,0.55,Spike,1.0,0.5197951300000001,0.40054543274989224,0.03959026000000021,False
16.0,0.54,Spike,1.0,0.5191862422,0.3936218004228027,0.03837248439999996,False
16.0,0.53,Spike,1.0,0.5192446528000001,0.3894018824492774,0.03848930560000019,False
16.0,0.52,Spike,1.0,0.5183594434000001,0.38384589169961075,0.03671888680000013,False
16.0,0.51,Spike,1.0,0.5180507209999999,0.37827157287175595,0.03610144199999987,False
16.0,0.5,Spike,0.388653,0.5168069282,0.37191460781520636,0.03361385639999992,False
16.0,0.49,Spike,0.16202,0.5164010294,0.3646873935817525,0.03280205879999998,False
16.0,0.48,Spike,0.202176,0.5159494176,0.36076202394441426,0.03189883520000003,False
16.0,0.47000000000000003,Spike,0.173729,0.5153321068,0.35281930084494517,0.030664213599999934,False
16.0,0.46,Spike,0.616455,0.5146123852000001,0.34735616618594856,0.029224770400000155,False
16.0,0.45,Spike,0.273619,0.5141444094000001,0.3413627597314846,0.028288818800000115,False
15.9,0.95,Spike,0.0,0.5439801106000001,0.49076024055072454,0.08796022120000013,False
15.9,0.94,Spike,0.0,0.5450817392,0.4906502190338425,0.09016347840000005,False
15.9,0.9299999999999999,Spike,1.0,0.5367475526000001,0.49076116457846514,0.07349510520000013,False
15.9,0.92,Spike,1.0,0.534774673,0.49086356383518004,0.06954934600000007,False
15.9,0.91,Spike,1.0,0.5411891194,0.4898029745565864,0.08237823880000006,False
15.9,0.9,Spike,1.0,0.5339731186,0.4899611837839822,0.06794623719999993,False
15.9,0.89,Spike,1.0,0.531206049,0.48975910390899574,0.06241209800000003,False
15.9,0.88,Spike,1.0,0.5315031132,0.48906190126096943,0.06300622639999998,False
15.9,0.87,Spike,0.0,0.5377251634,0.4880759076920579,0.07545032679999997,False
15.9,0.8600000000000001,Spike,2e-06,0.5352359648,0.4875458749233103,0.07047192960000004,False
15.9,0.8500000000000001,Spike,1.0,0.5356864874,0.48687858155162445,0.07137297480000004,False
15.9,0.8400000000000001,Spike,1.0,0.5298275792,0.48605408946836764,0.05965515840000002,False
15.9,0.8300000000000001,Spike,1.0,0.5333711144,0.4850879270604307,0.06674222879999991,False
15.9,0.8200000000000001,Spike,1.0,0.5336346493999999,0.4839235966234123,0.06726929879999988,False
15.9,0.81,Spike,1.0,0.532169074,0.48302265308682024,0.06433814800000004,False
