epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Uniform,1.0,0.5276995447999999,0.4701843999244072,0.05539908959999984,False
16.0,0.94,Uniform,0.01888,0.5277023855999999,0.4687715394400107,0.05540477119999987,False
16.0,0.9299999999999999,Uniform,0.008821,0.5279019265999999,0.466559000989646,0.05580385319999981,False
16.0,0.92,Uniform,0.215543,0.52672237,0.46301795182495065,0.05344473999999999,False
16.0,0.91,Uniform,1.0,0.5271373112,0.4632171192890436,0.05427462239999992,False
16.0,0.9,Uniform,1.0,0.5270037625999999,0.45821552435231716,0.05400752519999985,False
16.0,0.89,Uniform,0.019466,0.5266653123999999,0.4578895462520307,0.05333062479999984,False
16.0,0.88,Uniform,0.146598,0.525617633,0.4537671813154875,0.051235265999999946,False
16.0,0.87,Uniform,1.0,0.526027407,0.45239620481534987,0.052054813999999894,False
16.0,0.8600000000000001,Uniform,0.70227,0.5251164942000001,0.44887298989149127,0.05023298840000012,False
16.0,0.8500000000000001,Uniform,1.0,0.5250487632,0.44824686278272163,0.05009752640000009,False
16.0,0.8400000000000001,Uniform,0.360042,0.5245400092000001,0.4446219148621348,0.0490800184000002,False
16.0,0.8300000000000001,Uniform,1.0,0.5243493162,0.43747043310508976,0.04869863240000005,False
16.0,0.8200000000000001,Uniform,0.59049,0.5241282692,0.441104895089172,0.04825653839999999,False
16.0,0.81,Uniform,0.18386,0.5232782974,0.43340353409003496,0.04655659479999996,False
16.0,0.8,Uniform,0.058728,0.5229288129999999,0.42773404566711937,0.045857625999999874,False
16.0,0.79,Uniform,0.224234,0.5235057592,0.4300644752373475,0.04701151839999995,False
16.0,0.78,Uniform,0.076241,0.5231748866,0.4305769350165954,0.0463497732,False
16.0,0.77,Uniform,1.0,0.5223143960000001,0.42021691597029964,0.04462879200000014,False
16.0,0.76,Uniform,1.0,0.521497912,0.4167150763203923,0.042995823999999905,False
16.0,0.75,Uniform,0.6253,0.5223140244,0.41993189060363895,0.04462804879999993,False
16.0,0.74,Uniform,1.0,0.5214704840000001,0.41303446146857997,0.042940968000000135,False
16.0,0.73,Uniform,1.0,0.5205611192,0.4032569004539029,0.041122238400000066,False
16.0,0.72,Uniform,1.0,0.5204924998,0.4048395552510075,0.040984999600000016,False
16.0,0.71,Uniform,1.0,0.5204521208,0.40691697432028934,0.04090424160000006,False
16.0,0.7,Uniform,0.098129,0.5196779718,0.3973113779593006,0.03935594359999994,False
16.0,0.69,Uniform,1.0,0.5192035428,0.39378814236842197,0.03840708560000006,False
16.0,0.68,Uniform,0.186516,0.5179176278000001,0.38193393433191836,0.035835255600000115,False
16.0,0.67,Uniform,0.375442,0.5181034564,0.38063991064281966,0.03620691279999999,False
16.0,0.66,Uniform,0.74968,0.5177890091999999,0.380898444064505,0.035578018399999856,False
16.0,0.65,Uniform,1.0,0.5175425716000001,0.37678162048870445,0.03508514320000011,False
16.0,0.64,Uniform,1.0,0.5172884652,0.3740394689812661,0.034576930400000094,False
16.0,0.63,Uniform,0.639793,0.5161014154000001,0.35876118070625423,0.03220283080000019,False
16.0,0.62,Uniform,0.748651,0.5159298578,0.36115365228519314,0.031859715600000005,False
16.0,0.61,Uniform,0.14286,0.5155675962,0.35497353768150713,0.031135192400000067,False
16.0,0.6,Uniform,1.0,0.515063593,0.3486915192165116,0.030127186000000084,False
16.0,0.5900000000000001,Uniform,0.229264,0.5142001678,0.341677159069305,0.028400335599999993,False
16.0,0.5800000000000001,Uniform,0.310559,0.513487791,0.3335266661359797,0.026975581999999942,False
16.0,0.5700000000000001,Uniform,0.174336,0.5127768927999999,0.3222606059241077,0.02555378559999988,False
16.0,0.56,Uniform,0.197383,0.5119796207999999,0.31334364807440207,0.023959241599999848,False
16.0,0.55,Uniform,0.649392,0.5111090776000001,0.30255237271536367,0.022218155200000256,False
16.0,0.54,Uniform,0.224432,0.5102512458,0.28999270352590983,0.02050249160000006,False
16.0,0.53,Uniform,0.437454,0.509300767,0.27687535098066357,0.018601534000000086,False
16.0,0.52,Uniform,0.279222,0.508453915,0.2634110017125413,0.016907830000000068,False
16.0,0.51,Uniform,0.239821,0.5077340610000001,0.24985747970813618,0.01546812200000014,False
16.0,0.5,Uniform,0.905692,0.5069427426,0.2362129594806908,0.013885485200000103,False
16.0,0.49,Uniform,0.276198,0.5060670264,0.2223576373305067,0.012134052800000017,False
16.0,0.48,Uniform,0.850783,0.5054127580000001,0.20825536033789893,0.010825516000000146,False
16.0,0.47000000000000003,Uniform,0.312224,0.5047013148,0.19375469231231204,0.009402629600000045,False
16.0,0.46,Uniform,0.328871,0.5039208294,0.17876011032528985,0.007841658800000095,False
16.0,0.45,Uniform,0.485421,0.5032489579999999,0.16302546794094142,0.006497915999999826,False
15.9,0.95,Uniform,0.00378,0.5285719368,0.4697617556819719,0.05714387360000006,False
15.9,0.94,Uniform,0.005033,0.528181642,0.46686651793598843,0.0563632839999999,False
15.9,0.9299999999999999,Uniform,1.0,0.527820787,0.4665475088455164,0.05564157400000003,False
15.9,0.92,Uniform,1.0,0.5271539167999999,0.46261949564410004,0.0543078335999998,False
15.9,0.91,Uniform,0.896327,0.5277009930000001,0.46160567704641503,0.055401986000000125,False
15.9,0.9,Uniform,1.0,0.5268885956,0.4581321917280587,0.05377719120000002,False
15.9,0.89,Uniform,1.0,0.5269429835999999,0.4623038391437882,0.05388596719999983,False
15.9,0.88,Uniform,0.052053,0.5257211372,0.4536354080154867,0.05144227440000004,False
15.9,0.87,Uniform,0.069421,0.5256151175999999,0.4531764775488954,0.05123023519999981,False
15.9,0.8600000000000001,Uniform,1.0,0.52555906,0.44890551059615913,0.051118119999999934,False
15.9,0.8500000000000001,Uniform,0.029252,0.5253441614000001,0.44752436052975,0.05068832280000013,False
15.9,0.8400000000000001,Uniform,0.103728,0.5242635924,0.44176982803278664,0.048527184799999956,False
15.9,0.8300000000000001,Uniform,0.038224,0.5245868768,0.4414198442978707,0.04917375360000009,False
15.9,0.8200000000000001,Uniform,0.061569,0.5246422454,0.4440809581743241,0.04928449080000008,False
