epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.95,Spike,0.0,0.6346120004,0.47564221196323214,0.2692240008,False
16.0,0.94,Spike,1.0,0.9879069282,0.07956666407926115,0.9758138564000001,False
16.0,0.9299999999999999,Spike,1.0,0.9878769928,0.07990110544080901,0.9757539855999999,False
16.0,0.92,Spike,1.0,0.9878448951999999,0.08015111127418205,0.9756897903999997,False
16.0,0.91,Spike,1.0,0.9878237996,0.08034036784596499,0.9756475992,False
16.0,0.9,Spike,1.0,0.9878125136000001,0.0804785783614126,0.9756250272000002,False
16.0,0.89,Spike,1.0,0.9878084522000001,0.08057551718525205,0.9756169044000003,False
16.0,0.88,Spike,1.0,0.9878096984,0.0806415538357046,0.9756193968,False
16.0,0.87,Spike,1.0,0.9878148336,0.08068608847651396,0.9756296672,False
16.0,0.8600000000000001,Spike,1.0,0.9878171708,0.08071712409039802,0.9756343416,False
16.0,0.8500000000000001,Spike,1.0,0.9877963104,0.08073281431677676,0.9755926208000001,False
16.0,0.8400000000000001,Spike,1.0,0.9877816586000001,0.08074581416764069,0.9755633172000002,False
16.0,0.8300000000000001,Spike,1.0,0.9877744486,0.08076624723599751,0.9755488971999999,False
16.0,0.8200000000000001,Spike,1.0,0.9877727566,0.08078485910146631,0.9755455131999999,False
16.0,0.81,Spike,1.0,0.9877751596,0.0807992840200763,0.9755503191999999,False
16.0,0.8,Spike,0.0,0.9374398426,0.23037842769763733,0.8748796852,False
16.0,0.79,Spike,0.0,0.7800275329999999,0.4074975292536809,0.5600550659999999,False
16.0,0.78,Spike,0.0,0.6498880318,0.4711647069464545,0.2997760636,False
16.0,0.77,Spike,0.0,0.5518130672,0.4917083179760209,0.10362613440000001,False
16.0,0.76,Spike,1.0,0.5844931562,0.48676477562065723,0.16898631239999995,False
16.0,0.75,Spike,1.0,0.6484274758,0.47120282801515156,0.2968549516000001,False
16.0,0.74,Spike,0.0,0.6449032214,0.47227587807447735,0.2898064428,False
16.0,0.73,Spike,0.0,0.5449298978000001,0.4919035781177868,0.08985979560000024,False
16.0,0.72,Spike,1.0,0.592493566,0.48485157701139114,0.18498713200000005,False
16.0,0.71,Spike,0.0,0.578526603,0.48725292892646843,0.15705320600000006,False
16.0,0.7,Spike,1.0,0.5627976634,0.48902072623715537,0.12559532680000007,False
16.0,0.69,Spike,0.0,0.5557092575999999,0.48979987734004027,0.11141851519999979,False
16.0,0.68,Spike,1.0,0.5772558938,0.4863992601259294,0.15451178759999995,False
16.0,0.67,Spike,1.0,0.5500815078000001,0.4893074790339229,0.10016301560000018,False
16.0,0.66,Spike,1.0,0.5372785863999999,0.48998879909347715,0.07455717279999985,False
16.0,0.65,Spike,1.0,0.5367118596,0.4894113818945721,0.07342371920000001,False
16.0,0.64,Spike,1.0,0.542620727,0.4883876316716807,0.08524145399999994,False
16.0,0.63,Spike,1.0,0.5541754298,0.4866995977198601,0.10835085960000002,False
16.0,0.62,Spike,1.0,0.5297882258,0.487521543766676,0.05957645159999991,False
16.0,0.61,Spike,0.0,0.5432266048,0.48583259243390786,0.08645320959999991,False
16.0,0.6,Spike,1.0,0.5449872939999999,0.48440543068419994,0.0899745879999998,False
16.0,0.5900000000000001,Spike,0.0,0.5404435646,0.48354326485454746,0.08088712919999996,False
16.0,0.5800000000000001,Spike,0.057566,0.5298233688,0.4825401276394041,0.059646737600000055,False
16.0,0.5700000000000001,Spike,1.0,0.5393643782,0.480002487040883,0.0787287564000001,False
16.0,0.56,Spike,1.0,0.535487954,0.47827307966865523,0.07097590800000009,False
16.0,0.55,Spike,1e-06,0.5349851302,0.47635560568140023,0.0699702604000001,False
16.0,0.54,Spike,1.0,0.5286329369999999,0.4734728088555579,0.05726587399999983,False
16.0,0.53,Spike,0.01014,0.5294582748,0.47184038036184023,0.05891654959999992,False
16.0,0.52,Spike,0.351218,0.5272554664,0.46851994559644783,0.05451093279999997,False
16.0,0.51,Spike,1.0,0.5314774606000001,0.46488899291411645,0.06295492120000024,False
16.0,0.5,Spike,1.0,0.5290359746,0.4614126169356792,0.05807194919999992,False
16.0,0.49,Spike,1.0,0.5296554316,0.45543617198828684,0.0593108631999999,False
16.0,0.48,Spike,0.035141,0.5266311551999999,0.4534519546261941,0.053262310399999846,False
16.0,0.47000000000000003,Spike,0.872249,0.5247603706,0.4467498227227926,0.04952074120000005,False
